day,maximum_fare,minimum_fare,avg_fare,std_dev_fare,rides
2013-04-20,900152.00,0.00,1380.43,13519.51,86061
2013-04-21,900142.00,0.00,1479.43,12319.75,67259
2013-04-22,897020.00,0.00,1396.35,6549.41,59123
2013-04-23,800086.00,0.00,1185.65,4180.61,71748
2013-04-24,900176.00,0.00,1567.99,15068.47,69450
2013-04-25,940020.00,0.00,1626.34,14980.42,74997
2013-04-26,900060.00,0.00,1435.44,11585.59,81976
2013-04-27,900198.00,0.00,1327.80,12696.87,83822
2013-04-28,900304.00,0.00,1610.26,14852.81,64624
2013-04-29,900114.00,0.00,1567.77,13142.88,53777
2013-04-30,600048.00,0.00,1223.13,2692.71,60072
2013-05-01,999999.00,0.00,1324.70,6840.44,64288
2013-05-02,800064.00,0.00,1235.28,3229.66,75401
2013-05-03,720016.00,0.00,1187.92,4410.15,89842
2013-05-04,900074.00,0.00,1172.82,7318.80,85529
2013-05-05,700110.00,0.00,1267.81,3006.63,68048
2013-05-06,900087.00,0.00,1475.15,10125.68,59362
2013-05-07,901234.00,0.00,1706.72,18091.80,63422
2013-05-08,810048.00,0.00,1323.12,4374.09,66981
2013-05-09,900100.00,0.00,1281.56,6163.46,78114
2013-05-10,800056.00,0.00,1178.39,3797.89,85713
2013-05-11,900121.00,0.00,1128.48,5735.66,76165
2013-05-12,205127.00,0.00,1253.73,1405.51,58944
2013-05-13,380029.00,0.00,1322.77,2048.25,59544
2013-05-14,800054.00,0.00,1260.61,3964.76,62448
2013-05-15,900102.00,0.00,1326.20,5274.05,69171
2013-05-16,700048.00,0.00,1302.31,3159.94,75392
2013-05-17,900150.00,0.00,1384.12,10063.94,92024
2013-05-18,900156.00,0.00,1220.41,8217.95,93211
2013-05-19,380012.00,0.00,1256.49,2167.60,81734
2013-05-20,800152.00,0.00,1451.29,7547.39,70558
2013-05-21,400088.00,0.00,1320.81,3430.72,69697
2013-05-22,900079.00,0.00,1497.02,12602.05,69963
2013-05-23,923671.00,0.00,1575.05,15560.45,81162
2013-05-24,700370.00,0.00,1198.29,3249.15,78493
2013-05-25,900062.00,0.00,1116.94,6855.97,79578
2013-05-26,800068.00,0.00,1147.02,6307.32,71121
2013-05-27,900332.00,0.00,1502.40,11825.47,44633
2013-05-28,800366.00,0.00,1403.20,8772.39,60221
2013-05-29,800070.00,0.00,1350.82,8285.68,66707
2013-05-30,870027.00,0.00,1284.74,4682.91,73509
2013-05-31,900106.00,0.00,1234.60,4491.22,90002
2013-06-01,900086.00,0.00,1237.75,10306.69,96641
2013-06-02,911129.00,0.00,1246.50,6219.40,78724
2013-06-03,60165.00,0.00,1346.73,1316.88,66947
2013-06-04,800058.00,0.00,1477.51,7973.12,70131
2013-06-05,900048.00,0.00,1305.53,6327.78,71164
2013-06-06,900326.00,0.00,1277.49,5024.16,79628
2013-06-07,800404.00,0.00,1235.08,3841.98,88888
2013-06-08,971010.00,0.00,1120.18,4339.10,96595
2013-06-09,450012.00,0.00,1258.92,2060.85,80348
2013-06-10,550014.00,0.00,1340.62,5886.87,69749
2013-06-11,970040.00,0.00,1289.06,5393.17,73062
2013-06-12,950023.00,0.00,1521.34,11281.45,74508
2013-06-13,900529.00,0.00,1412.46,8033.30,80010
2013-06-14,900114.00,0.00,1300.70,7754.66,89935
2013-06-15,700048.00,0.00,1106.77,3221.83,93621
2013-06-16,800508.00,0.00,1275.95,3867.49,75381
2013-06-17,383036.00,0.00,1272.93,1927.12,67317
2013-06-18,99999.00,0.00,1211.97,1267.39,68504
2013-06-19,830040.00,0.00,1385.97,6127.99,71553
2013-06-20,870019.00,0.00,1341.97,6866.83,75429
2013-06-21,900100.00,0.00,1362.91,9364.56,89722
2013-06-22,900058.00,0.00,1289.04,11502.26,92161
2013-06-23,900306.00,0.00,1345.38,7846.86,80302
2013-06-24,99999.00,0.00,1291.21,1285.60,70140
2013-06-25,901092.00,0.00,1332.68,7985.75,72888
2013-06-26,700048.00,0.00,1246.25,3819.42,69305
2013-06-27,900318.00,0.00,1317.65,6520.41,76324
2013-06-28,900062.00,0.00,1236.13,6308.37,95828
2013-06-29,200785.00,0.00,1074.11,1283.91,93767
2013-06-30,900184.00,0.00,1438.49,13872.12,77836
2013-07-01,900095.00,0.00,1298.84,8509.59,57290
2013-07-02,540013.00,0.00,1160.52,5034.27,56979
2013-07-03,700070.00,0.00,1204.70,6355.87,65783
2013-07-04,800110.00,0.00,1195.41,9192.17,65732
2013-07-05,900178.00,0.00,1169.31,8915.41,70850
2013-07-06,800048.00,0.00,1126.51,6149.64,75749
2013-07-07,900142.00,0.00,1364.18,8403.31,62269
2013-07-08,900076.00,0.00,1322.78,5180.74,60808
2013-07-09,900184.00,0.00,1344.79,9795.00,64471
2013-07-10,900071.00,0.00,1367.72,9411.61,69461
2013-07-11,851264.00,0.00,1272.89,3279.69,77690
2013-07-12,900432.00,0.00,1265.52,7705.32,88913
2013-07-13,900056.00,0.00,1166.91,6797.72,99428
2013-07-14,900092.00,0.00,1258.43,4481.41,80448
2013-07-15,800050.00,0.00,1308.07,4727.97,68051
2013-07-16,722981.00,0.00,1264.42,5074.98,71020
2013-07-17,716081.00,0.00,1260.93,4293.80,74926
2013-07-18,900320.00,0.00,1259.94,6022.09,82110
2013-07-19,780018.00,0.00,1171.17,3637.66,98868
2013-07-20,940039.00,0.00,1132.95,4571.05,102619
2013-07-21,900220.00,0.00,1347.04,9481.73,83423
2013-07-22,900054.00,0.00,1318.39,4335.25,70475
2013-07-23,800194.00,0.00,1245.55,3532.39,67817
2013-07-24,800056.00,0.00,1280.22,5315.59,67681
2013-07-25,900174.00,0.00,1377.85,9820.55,74711
2013-07-26,900116.00,0.00,1344.50,11317.37,86176
2013-07-27,900140.00,0.00,1153.17,8782.81,89901
2013-07-28,900058.00,0.00,1216.76,4280.68,72650
2013-07-29,80025.00,0.00,1311.68,1321.32,59311
2013-07-30,420012.00,0.00,1207.07,1995.53,65010
2013-07-31,900371.00,0.00,1261.98,6639.33,71824
2013-08-01,900152.00,0.00,1280.89,4364.73,78441
2013-08-02,800072.00,0.00,1213.74,6107.58,97599
2013-08-03,800174.00,0.00,1144.45,6277.87,96927
2013-08-04,520014.00,0.00,1250.92,4106.21,82177
2013-08-05,900090.00,0.00,1346.59,5213.11,65062
2013-08-06,77556.00,0.00,1192.77,1199.55,60683
2013-08-07,73227.00,0.00,1187.82,1151.21,69544
2013-08-08,600320.00,0.00,1232.17,2934.57,71822
2013-08-09,900328.00,0.00,1211.68,6352.08,87002
2013-08-10,700132.00,0.00,1106.64,3896.90,92705
2013-08-11,32725.00,0.00,1202.93,1018.25,75029
2013-08-12,37744.00,0.00,1260.02,1140.57,62773
2013-08-13,102304.00,0.00,1220.05,1249.15,65086
2013-08-14,900094.00,0.00,1315.04,7752.34,72677
2013-08-15,400200.00,0.00,1229.65,2474.54,78386
2013-08-16,900068.00,0.00,1242.74,7440.66,92005
2013-08-17,700110.00,0.00,1057.60,2369.26,98291
2013-08-18,900052.00,0.00,1260.98,5120.31,75236
2013-08-19,900448.00,0.00,1447.12,10334.76,59522
2013-08-20,900071.00,0.00,1351.97,9732.58,66467
2013-08-21,900071.00,0.00,1380.77,10962.89,74054
2013-08-22,900106.00,0.00,1255.63,6403.56,81607
2013-08-23,72500.00,0.00,1173.72,1077.16,87901
2013-08-24,990021.00,0.00,1116.08,6490.79,90279
2013-08-25,68513.00,0.00,1211.70,1081.93,72762
2013-08-26,900062.00,0.00,1316.26,6042.27,60080
2013-08-27,80000.00,0.00,1176.61,1124.42,66467
2013-08-28,500162.00,0.00,1208.81,3155.05,67709
2013-08-29,400000.00,0.00,1218.08,2756.83,74931
2013-08-30,40750.00,0.00,1134.93,993.76,87441
2013-08-31,510014.00,0.00,1103.17,3270.37,88725
2013-09-01,900048.00,0.00,1143.87,7403.47,83465
2013-09-02,700086.00,0.00,1331.19,5466.69,50381
2013-09-03,57705.00,0.00,1290.67,1221.65,54143
2013-09-04,400446.00,0.00,1184.36,2884.48,58951
2013-09-05,104885.00,0.00,1197.78,1284.10,63768
2013-09-06,900102.00,0.00,1159.82,3521.36,82429
2013-09-07,900071.00,0.00,1138.96,7134.32,89950
2013-09-08,900134.00,0.00,1354.25,8636.49,76934
2013-09-09,310010.00,0.00,1321.77,2060.56,68786
2013-09-10,570015.00,0.00,1239.61,3013.18,72243
2013-09-11,790018.00,0.00,1298.48,5641.67,73764
2013-09-12,40244.00,0.00,1254.16,1130.90,79996
2013-09-13,380500.00,0.00,1223.23,2360.46,91846
2013-09-14,99999.00,0.00,1049.92,913.12,96624
2013-09-15,120515.00,0.00,1206.87,1198.08,83720
2013-09-16,810037.00,0.00,1418.39,7010.06,65849
2013-09-17,99999.00,0.00,1233.73,1264.41,68065
2013-09-18,162031.00,0.00,1233.45,1312.12,79556
2013-09-19,400042.00,0.00,1250.62,1957.54,82706
2013-09-20,131358.00,0.00,1209.89,1234.98,96427
2013-09-21,165661.00,0.00,1086.89,1020.36,97990
2013-09-22,60707.00,0.00,1285.63,1172.91,78437
2013-09-23,800306.00,0.00,1450.60,7580.81,66539
2013-09-24,49900.00,0.00,1250.78,1134.28,70312
2013-09-25,800610.00,0.00,1286.24,4453.04,76293
2013-09-26,690016.00,0.00,1329.35,4518.12,81607
2013-09-27,600180.00,0.00,1245.76,2410.89,90593
2013-09-28,900102.00,0.00,1124.34,6107.94,91208
2013-09-29,60256.00,0.00,1262.35,1150.27,79017
2013-09-30,900300.00,0.00,1485.55,10022.95,67346
2013-10-01,800236.00,0.00,1238.23,3763.25,71447
2013-10-02,700128.00,0.00,1366.60,6170.65,75174
2013-10-03,900094.00,0.00,1238.97,3464.20,83212
2013-10-04,85242.00,0.00,1200.68,1085.01,90811
2013-10-05,650000.00,0.00,1102.81,3941.93,95665
2013-10-06,100086.00,0.00,1262.27,1237.71,81684
